Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-6-26,98.1,82.6,74.1,78.8,75.0,70.9,97,80,45,30.06,29.91,7,1,8,0.00 
2010-6-27,97.5,85.0,76.5,78.3,75.4,70.3,95,75,46,29.98,29.87,8,1,12,0.00 
2010-6-28,97.5,83.1,75.0,78.1,75.1,73.0,95,78,48,29.99,29.88,8,1,12,0.00 
2010-6-29,93.7,80.3,75.4,80.8,76.0,70.5,96,87,59,30.03,29.96,7,0,9,0.00 
2010-6-30,90.9,80.1,74.1,79.3,76.2,71.6,97,88,67,30.11,29.99,9,0,12,0.00 
2010-7-1,88.2,73.2,73.0,72.7,72.4,71.6,98,97,97,30.12,30.05,6,0,7,0.00 
2010-7-2,86.5,77.1,73.0,77.9,74.0,70.3,98,90,73,30.09,30.02,9,1,13,0.00 
2010-7-3,85.6,77.4,74.1,75.4,73.1,71.4,96,87,66,30.09,30.03,11,1,17,0.01 
2010-7-4,86.7,76.3,73.8,78.4,74.0,72.3,96,93,74,30.07,30.01,7,1,13,0.01 
2010-7-5,84.9,76.6,72.3,77.5,74.7,71.8,99,94,75,30.07,30.00,4,0,6,0.01 
2010-7-6,92.5,80.2,72.3,79.7,74.3,69.8,99,84,59,30.07,29.99,5,0,7,0.00 
2010-7-7,92.3,80.1,70.2,76.3,72.1,69.3,98,79,51,30.07,29.98,7,1,8,0.01 
2010-7-8,95.7,77.8,67.8,75.4,70.7,66.7,98,81,45,30.04,29.92,10,0,10,0.01 
2010-7-9,97.2,84.6,74.8,77.0,74.3,71.2,94,73,46,30.00,29.90,6,1,7,0.00 
2010-7-10,96.3,83.9,73.2,76.8,72.7,67.8,94,71,45,30.01,29.91,9,1,12,0.14 
2010-7-11,95.2,80.8,74.8,80.8,76.5,73.0,97,88,59,29.99,29.87,13,1,15,0.35 
2010-7-12,90.3,81.2,75.2,81.9,77.4,74.3,98,89,66,29.99,29.86,11,1,11,0.09 
2010-7-13,95.7,84.6,76.1,79.0,75.5,71.8,96,76,48,30.03,29.94,8,1,11,0.00 
